observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index,data_file
"[ 0.   -0.96  1.16  0.   -0.3   0.    0.    0.   -0.96  1.16  0.   -0.3
  0.    0.  ]","[-0.01380583 -0.94800013  1.1734953  -0.01687379 -0.34054375  0.
  0.2333815  -0.00306796 -0.9848157   1.1734953  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,0,0.0,False,400,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-1.1506183e-03 -9.5848888e-01  1.1654410e+00 -7.6355198e-03
 -3.1098107e-01  9.2072319e-04  1.8352592e-02 -2.5937651e-04
 -9.6337253e-01  1.1654652e+00 -7.6620928e-03 -3.0458796e-01
  5.7616629e-02  1.6198151e-02]","[-0.01380583 -0.94800013  1.1750293  -0.01687379 -0.34054375 -0.00306796
  0.2333815  -0.00306796 -0.9848157   1.1734953  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,1,0.02,False,401,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-2.7201101e-03 -9.5648086e-01  1.1721650e+00 -1.6296461e-02
 -3.2109356e-01 -3.0512032e-03  4.4745214e-02 -5.9710589e-04
 -9.6779841e-01  1.1717823e+00 -3.4172486e-03 -3.0802664e-01
  7.3405690e-02  4.0174332e-02]","[-0.01380583 -0.94800013  1.1750293  -0.01687379 -0.34054375 -0.00153398
  0.2333815  -0.00306796 -0.9848157   1.1734953  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,2,0.04,False,402,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-4.1497136e-03 -9.5477074e-01  1.1763374e+00 -2.1377956e-02
 -3.2598811e-01 -2.9513761e-03  6.9386035e-02 -9.2117296e-04
 -9.7151279e-01  1.1753972e+00 -1.7499442e-03 -3.0930963e-01
  6.0652353e-02  6.1190978e-02]","[-0.01380583 -0.94800013  1.1734953  -0.01687379 -0.34054375 -0.00153398
  0.2333815  -0.00306796 -0.9848157   1.1734953  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,3,0.06,False,403,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.00540056 -0.9534027   1.1777532  -0.02218708 -0.32809708 -0.0014882
  0.09111933 -0.00120447 -0.9744655   1.1769116  -0.00503294 -0.31000945
  0.05948775  0.07962641]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34054375 -0.00153398
  0.2333815  -0.00306796 -0.9848157   1.1734953  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,4,0.08,False,404,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.00649261 -0.952328    1.1773536  -0.02107477 -0.3292825  -0.00144895
  0.1098823  -0.00144506 -0.97679496  1.1773617  -0.00663646 -0.310662
  0.06162034  0.09610964]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00153398
  0.23249647 -0.00306796 -0.98328173  1.1734953  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,5,0.1,False,405,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.0074451  -0.9514881   1.1761134  -0.02010659 -0.33059612 -0.00153996
  0.12597966 -0.00165443 -0.97842675  1.177399   -0.00640201 -0.3112823
  0.06155514  0.11049289]","[-0.01380583 -0.94800013  1.1688933  -0.01687379 -0.34207773  0.
  0.2333815  -0.00306796 -0.98328173  1.1719613  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,6,0.12,False,406,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-8.2742069e-03 -9.5083392e-01  1.1745656e+00 -1.9843616e-02
 -3.3178505e-01 -6.7417408e-05  1.3996099e-01 -1.8381941e-03
 -9.7959834e-01  1.1768769e+00 -6.0447152e-03 -3.1151623e-01
  6.1309200e-02  1.2290279e-01]","[-0.01380583 -0.94800013  1.1688933  -0.01687379 -0.34207773  0.
  0.2333815  -0.00306796 -0.9848157   1.1719613  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,7,0.14,False,407,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-8.9947395e-03 -9.5032662e-01  1.1734247e+00 -1.9559912e-02
 -3.3275941e-01  3.1792014e-04  1.5218383e-01 -1.9984557e-03
 -9.8070836e-01  1.1762817e+00 -5.8303894e-03 -3.1173298e-01
  6.1383560e-02  1.3368496e-01]","[-0.01380583 -0.94800013  1.1688933  -0.01687379 -0.34207773 -0.00153398
  0.2333815  -0.00306796 -0.9848157   1.1719613  -0.00306796 -0.320602
  0.06135923  0.20852551]",1,8,0.16,False,408,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.00962163 -0.94993013  1.1728652  -0.01936223 -0.33335033 -0.00145166
  0.16281259 -0.00213787 -0.9816888   1.1759323  -0.00572318 -0.3119687
  0.06141806  0.14307351]","[-0.01380583 -0.94800013  1.1688933  -0.01687379 -0.34207773 -0.00153398
  0.2333815  -0.00306796 -0.98328173  1.1719613  -0.00153398 -0.32213598
  0.06135923  0.20852551]",1,9,0.18,False,409,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
