selection_rank,index,episode_index,frame_index,timestamp,task_index,coreset_score,action_delta,state_delta,vision_delta,rarity
1,401,1,1,0.02,0,0.045414828,0.0,0.031141464,0.027921857,0.20432664
2,425,1,25,0.5,0,0.045753926,0.011787942,0.00937251,0.027270697,0.21644895
3,429,1,29,0.58,0,0.07571666,0.010501512,0.008985068,0.039340917,0.39973086
4,436,1,36,0.72,0,0.056546617,0.00931426,0.008956272,0.029795267,0.29065827
5,440,1,40,0.8,0,0.04159212,0.007773664,0.0060143853,0.024015216,0.20909292
6,444,1,44,0.88,0,0.036033735,0.005805382,0.005559265,0.020907369,0.18256794
7,448,1,48,0.96,0,0.037561722,0.009620422,0.005770014,0.022062061,0.18157704
8,452,1,52,1.04,0,0.040725555,0.01587474,0.007643643,0.016971398,0.19343756
9,456,1,56,1.12,0,0.047896378,0.025739644,0.010042587,0.012430402,0.22179504
10,460,1,60,1.2,0,0.053349655,0.03911482,0.016082762,0.016699532,0.20975928
11,464,1,64,1.28,0,0.056108594,0.03576216,0.024631586,0.024142418,0.20932224
12,468,1,68,1.36,0,0.041030176,0.012062572,0.018606192,0.017341467,0.18547574
13,472,1,72,1.44,0,0.048524544,0.0085314745,0.012565163,0.024100566,0.24248062
14,478,1,78,1.56,0,0.047605366,0.0089929635,0.00885263,0.023321545,0.24276188
15,482,1,82,1.64,0,0.05564449,0.007997731,0.0085885925,0.030504426,0.28714687
16,486,1,86,1.72,0,0.040563084,0.008786208,0.0067382283,0.03425421,0.18159868
17,490,1,90,1.8,0,0.030677877,0.005815483,0.0059859203,0.018795377,0.14964756
18,536,1,136,2.72,0,0.030538164,0.04632572,0.006466988,0.0074827587,0.072244845
19,540,1,140,2.8,0,0.03334655,0.027851993,0.015839232,0.010614333,0.11323306
20,560,1,160,3.2,0,0.059936166,0.010947137,0.013754266,0.03238805,0.29712725
21,564,1,164,3.28,0,0.08259037,0.015980577,0.019199558,0.044277355,0.40751958
22,570,1,170,3.4,0,0.08097622,0.029887864,0.019549048,0.041626904,0.3681432
23,576,1,176,3.52,0,0.08977395,0.027101263,0.019155683,0.044311956,0.42947733
24,582,1,182,3.64,0,0.074027315,0.019363837,0.013276873,0.032695178,0.37171304
25,586,1,186,3.72,0,0.06407951,0.013366257,0.017542368,0.019957319,0.3335093
26,592,1,192,3.84,0,0.0775031,0.011578743,0.02686578,0.051041726,0.35982442
27,596,1,196,3.92,0,0.051045682,0.0063009183,0.020047449,0.02828863,0.24504225
28,600,1,200,4.0,0,0.03425161,0.0038346264,0.0138083035,0.01855185,0.16546302
29,604,1,204,4.08,0,0.036552466,0.0027114586,0.011148925,0.015367221,0.19316278
30,608,1,208,4.16,0,0.046722863,0.0029702887,0.0070855273,0.02123196,0.25735927
31,612,1,212,4.24,0,0.06265596,0.005285654,0.005597436,0.031815648,0.34301805
32,618,1,218,4.36,0,0.06741968,0.0049997154,0.006241393,0.030051645,0.37731013
33,622,1,222,4.44,0,0.0629865,0.006123377,0.006412036,0.029702997,0.3454304
34,626,1,226,4.52,0,0.076525755,0.004617502,0.008339173,0.039788097,0.41918537
35,630,1,230,4.6,0,0.053773418,0.0056876335,0.0066579278,0.018596997,0.30312675
36,635,1,235,4.7,0,0.06412626,0.004287236,0.0054078796,0.019345041,0.37624997
37,639,1,239,4.78,0,0.047820695,0.0021003112,0.005625725,0.02038901,0.27054602
38,644,1,244,4.88,0,0.037501477,0.0077644936,0.008845958,0.020323103,0.18327759
39,656,1,256,5.12,0,0.036690086,0.0033208816,0.002875286,0.026017474,0.18869725
40,661,1,261,5.22,0,0.029815897,0.003208252,0.003528832,0.008437093,0.17134352
41,718,1,318,6.36,0,0.03153093,0.029432522,0.012203057,0.019071527,0.08940602
42,726,1,326,6.52,0,0.056815587,0.018569218,0.016829029,0.029113458,0.2588716
43,730,1,330,6.6,0,0.08236635,0.043048076,0.02645903,0.04044486,0.337157
44,734,1,334,6.68,0,0.08298742,0.03981357,0.04106849,0.019527934,0.3593571
45,738,1,338,6.76,0,0.10365392,0.054762557,0.033759065,0.03201172,0.4536289
46,742,1,342,6.84,0,0.11936905,0.03659999,0.029648134,0.037243094,0.5989083
47,749,1,349,6.98,0,0.104279116,0.0112125715,0.014669375,0.046553127,0.56699395
48,754,1,354,7.08,0,0.09661506,0.009720971,0.012696957,0.05723963,0.5048571
49,759,1,359,7.18,0,0.10528911,0.008488292,0.014220374,0.055261098,0.5663189
50,763,1,363,7.26,0,0.06872158,0.009314247,0.007506614,0.022023834,0.38719314
51,767,1,367,7.34,0,0.048537936,0.004696439,0.007476889,0.013437792,0.27777007
52,772,1,372,7.44,0,0.040270418,0.0035353506,0.0037502015,0.026213547,0.2102807
53,800,2,0,0.0,0,0.51316255,0.48938417,0.6058328,0.5962105,0.27578178
54,804,2,4,0.08,0,0.038173597,0.001714897,0.0126978075,0.028736468,0.18143208
55,819,2,19,0.38,0,0.03428431,0.010787573,0.0038498542,0.0072524133,0.18488726
56,823,2,23,0.46,0,0.08475824,0.012833071,0.008736849,0.036725394,0.45934063
